episode,step,ep_reward,ep_length,ep_v,policy_loss,value_loss,entropy,approx_kl,clip_fraction,mean_reward_100,mean_length_100,mean_v_100,x_pos,coins,score,flag_get
129,53248,696.37,401,-1.965,-0.002161,2.908183,1.492069,0.008802,0.0991,484.57,352.9,-1.5104,1434,0,100,0
130,53248,471.29,320,-1.9657,-0.002161,2.908183,1.492069,0.008802,0.0991,487.49,355.0,-1.5169,850,1,500,0
131,55296,491.36,350,-1.8707,0.001136,1.932308,1.529035,0.002177,0.0386,487.6,354.0,-1.5216,1243,0,500,0
132,55296,261.56,168,-1.2946,0.001136,1.932308,1.529035,0.002177,0.0386,479.04,347.5,-1.5237,671,1,200,0
133,55296,406.36,280,-1.394,0.001136,1.932308,1.529035,0.002177,0.0386,478.35,346.8,-1.5232,898,2,700,0
134,55296,606.22,386,-1.4235,0.001136,1.932308,1.529035,0.002177,0.0386,481.72,349.1,-1.5227,1435,0,200,0
135,55296,474.57,224,-1.2854,0.001136,1.932308,1.529035,0.002177,0.0386,480.84,347.3,-1.5205,1437,0,200,0
136,57344,994.42,820,-1.5302,-0.001026,2.348277,1.413344,0.011865,0.1108,486.05,352.5,-1.5209,3161,3,15300,1
137,57344,522.28,355,-1.4137,-0.001026,2.348277,1.413344,0.011865,0.1108,486.74,353.1,-1.5199,1125,0,200,0
138,57344,530.44,297,-1.4784,-0.001026,2.348277,1.413344,0.011865,0.1108,484.87,351.1,-1.5186,1944,1,800,0
139,57344,364.0,195,-1.6601,-0.001026,2.348277,1.413344,0.011865,0.1108,482.48,349.2,-1.5181,1126,0,200,0
140,57344,175.59,98,-1.7634,-0.001026,2.348277,1.413344,0.011865,0.1108,476.66,345.1,-1.5186,310,1,200,0
141,57344,452.14,252,-1.7765,-0.001026,2.348277,1.413344,0.011865,0.1108,477.05,343.9,-1.5193,1127,1,400,0
142,57344,375.9,317,-1.818,-0.001026,2.348277,1.413344,0.011865,0.1108,473.69,339.4,-1.5208,1515,0,100,0
143,57344,477.71,285,-1.778,-0.001026,2.348277,1.413344,0.011865,0.1108,475.68,340.5,-1.525,1429,2,600,0
144,57344,527.12,322,-1.7752,-0.001026,2.348277,1.413344,0.011865,0.1108,476.88,340.9,-1.5278,1411,1,500,0
145,59392,363.57,223,-1.7616,0.001539,3.513428,1.300962,0.007748,0.064,477.9,341.4,-1.5342,1128,2,600,0
146,59392,399.59,268,-1.7905,0.001539,3.513428,1.300962,0.007748,0.064,478.08,341.6,-1.5407,898,2,400,0
147,59392,347.55,195,-1.7195,0.001539,3.513428,1.300962,0.007748,0.064,475.36,339.2,-1.5461,707,1,300,0
148,59392,368.87,252,-1.7603,0.001539,3.513428,1.300962,0.007748,0.064,473.15,336.5,-1.5512,824,0,300,0
149,59392,263.65,147,-1.7096,0.001539,3.513428,1.300962,0.007748,0.064,470.16,333.7,-1.5556,702,0,100,0
150,59392,338.44,170,-1.7066,0.001539,3.513428,1.300962,0.007748,0.064,467.57,330.0,-1.5588,700,2,400,0
151,59392,270.86,158,-1.7091,0.001539,3.513428,1.300962,0.007748,0.064,466.7,329.4,-1.5611,700,1,200,0
152,59392,365.32,226,-1.7345,0.001539,3.513428,1.300962,0.007748,0.064,466.76,328.9,-1.5636,1130,2,400,0
153,61440,456.03,259,-1.7793,0.000751,2.793127,1.364392,0.008689,0.0867,465.92,327.6,-1.5663,1136,1,300,0
154,61440,441.36,271,-1.8605,0.000751,2.793127,1.364392,0.008689,0.0867,466.81,327.6,-1.5698,693,0,100,0
155,61440,430.37,255,-1.8849,0.000751,2.793127,1.364392,0.008689,0.0867,466.59,327.1,-1.5737,1786,1,400,0
156,61440,536.57,432,-1.8464,0.000751,2.793127,1.364392,0.008689,0.0867,469.2,329.5,-1.5775,1130,0,300,0
157,61440,340.6,174,-2.0946,0.000751,2.793127,1.364392,0.008689,0.0867,466.95,326.2,-1.583,706,0,0,0
158,61440,258.97,153,-2.0988,0.000751,2.793127,1.364392,0.008689,0.0867,463.81,321.6,-1.5889,687,0,100,0
159,61440,260.97,168,-2.088,0.000751,2.793127,1.364392,0.008689,0.0867,461.69,319.0,-1.5946,676,1,200,0
160,61440,351.32,171,-2.0731,0.000751,2.793127,1.364392,0.008689,0.0867,462.66,319.2,-1.6047,1437,0,200,0
161,61440,347.99,203,-2.0914,0.000751,2.793127,1.364392,0.008689,0.0867,460.2,317.1,-1.6133,700,1,200,0
162,61440,284.37,200,-2.1127,0.000751,2.793127,1.364392,0.008689,0.0867,456.31,313.9,-1.6219,831,2,500,0
163,61440,466.12,215,-2.0772,0.000751,2.793127,1.364392,0.008689,0.0867,456.63,312.9,-1.6316,1793,1,500,0
164,63488,416.59,258,-2.0262,0.000121,3.360084,1.167617,0.011268,0.0571,455.14,310.9,-1.6408,1668,1,700,0
165,63488,363.16,224,-1.9481,0.000121,3.360084,1.167617,0.011268,0.0571,455.19,310.5,-1.6485,1127,0,100,0
166,63488,266.51,153,-1.8429,0.000121,3.360084,1.167617,0.011268,0.0571,454.04,309.7,-1.6552,701,1,200,0
167,63488,258.56,139,-1.7651,0.000121,3.360084,1.167617,0.011268,0.0571,454.07,309.4,-1.6569,688,1,200,0
168,63488,431.98,248,-1.8304,0.000121,3.360084,1.167617,0.011268,0.0571,454.69,309.7,-1.659,704,0,100,0
169,63488,262.27,140,-1.7682,0.000121,3.360084,1.167617,0.011268,0.0571,452.33,307.0,-1.6608,704,0,0,0
170,63488,256.07,155,-1.7481,0.000121,3.360084,1.167617,0.011268,0.0571,450.78,305.2,-1.6618,677,0,0,0
171,63488,441.38,273,-1.7995,0.000121,3.360084,1.167617,0.011268,0.0571,450.15,302.9,-1.6635,1127,0,200,0
172,63488,354.8,250,-1.8201,0.000121,3.360084,1.167617,0.011268,0.0571,450.09,303.3,-1.6713,1145,1,400,0
173,65536,565.31,307,-1.8961,-0.002654,3.952158,1.165213,0.006014,0.0657,450.12,301.3,-1.6776,1241,0,300,0
174,65536,482.96,230,-1.8962,-0.002654,3.952158,1.165213,0.006014,0.0657,450.06,299.1,-1.6854,2028,0,300,0
175,65536,349.6,190,-2.1199,-0.002654,3.952158,1.165213,0.006014,0.0657,445.79,293.4,-1.6935,709,0,200,0
176,65536,488.89,299,-2.0961,-0.002654,3.952158,1.165213,0.006014,0.0657,446.73,293.6,-1.7034,1525,0,0,0
177,65536,353.15,207,-2.2784,-0.002654,3.952158,1.165213,0.006014,0.0657,445.73,293.2,-1.7141,1129,0,200,0
178,65536,173.16,92,-2.237,-0.002654,3.952158,1.165213,0.006014,0.0657,443.4,290.8,-1.7238,316,0,0,0
179,65536,569.04,348,-2.2669,-0.002654,3.952158,1.165213,0.006014,0.0657,443.08,289.0,-1.7341,1130,0,500,0
180,65536,537.87,309,-2.251,-0.002654,3.952158,1.165213,0.006014,0.0657,443.51,285.8,-1.7439,1125,0,0,0
181,67584,635.94,368,-2.2518,0.002468,4.31825,1.07847,0.006056,0.0635,446.33,287.1,-1.7543,1126,1,700,0
182,67584,373.24,223,-2.0809,0.002468,4.31825,1.07847,0.006056,0.0635,445.74,285.2,-1.7644,834,1,400,0
183,67584,477.65,318,-2.1102,0.002468,4.31825,1.07847,0.006056,0.0635,446.57,284.4,-1.7752,1433,0,100,0
184,67584,331.78,164,-1.9767,0.002468,4.31825,1.07847,0.006056,0.0635,444.53,282.4,-1.7852,679,0,200,0
185,67584,176.06,98,-1.9798,0.002468,4.31825,1.07847,0.006056,0.0635,441.73,279.4,-1.7949,308,2,400,0
186,67584,632.6,417,-2.0617,0.002468,4.31825,1.07847,0.006056,0.0635,444.24,280.5,-1.8059,1129,0,500,0
187,67584,350.39,208,-2.0176,0.002468,4.31825,1.07847,0.006056,0.0635,443.06,279.9,-1.8152,1128,0,200,0
188,67584,509.54,284,-1.9907,0.002468,4.31825,1.07847,0.006056,0.0635,443.18,279.6,-1.8241,1788,2,600,0
189,69632,342.9,198,-1.9907,-0.00075,3.6306,1.074266,0.002633,0.064,442.98,278.6,-1.8324,698,1,400,0
190,69632,339.12,184,-2.0125,-0.00075,3.6306,1.074266,0.002633,0.064,442.85,278.6,-1.8394,685,0,100,0
191,69632,590.61,365,-2.0326,-0.00075,3.6306,1.074266,0.002633,0.064,444.98,280.1,-1.8465,1413,0,200,0
192,69632,436.68,237,-2.0855,-0.00075,3.6306,1.074266,0.002633,0.064,443.79,279.1,-1.8539,1129,1,300,0
193,69632,481.38,427,-2.065,-0.00075,3.6306,1.074266,0.002633,0.064,441.98,278.2,-1.8598,1420,0,600,0
194,69632,531.48,313,-2.0783,-0.00075,3.6306,1.074266,0.002633,0.064,444.65,279.9,-1.8639,1128,2,700,0
195,69632,373.31,244,-2.0773,-0.00075,3.6306,1.074266,0.002633,0.064,440.79,276.2,-1.869,814,1,400,0
196,69632,357.21,191,-2.0759,-0.00075,3.6306,1.074266,0.002633,0.064,437.07,273.1,-1.8737,1145,1,400,0
197,71680,285.84,202,-2.0052,-0.000397,2.481823,1.161743,0.007734,0.0769,433.39,270.6,-1.8772,827,0,200,0
198,71680,351.08,188,-1.9196,-0.000397,2.481823,1.161743,0.007734,0.0769,433.09,269.5,-1.879,722,0,100,0
199,71680,574.64,286,-1.9132,-0.000397,2.481823,1.161743,0.007734,0.0769,434.3,269.2,-1.8806,1238,1,700,0
